model_key,condition,benchmark,metric_name,score,n
falcon-h1-0.5b,ssm_layer_33_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_34_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_34_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_35_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_35_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_early_off,mmlu,accuracy,0.278,2000
falcon-h1-0.5b,attention_early_off,gsm8k,exact_match,0.04,50
falcon-h1-0.5b,attention_early_off,arc_challenge,accuracy,0.24414715719063546,299
falcon-h1-0.5b,attention_early_off,hellaswag,accuracy,0.4415,2000
falcon-h1-0.5b,attention_early_off,truthfulqa_mc,accuracy,0.23037974683544304,790
falcon-h1-0.5b,attention_middle_off,mmlu,accuracy,0.4405,2000
falcon-h1-0.5b,attention_middle_off,gsm8k,exact_match,0.0,50
falcon-h1-0.5b,attention_middle_off,arc_challenge,accuracy,0.5551839464882943,299
falcon-h1-0.5b,attention_middle_off,hellaswag,accuracy,0.412,2000
falcon-h1-0.5b,attention_middle_off,truthfulqa_mc,accuracy,0.22531645569620254,790
falcon-h1-0.5b,attention_late_off,mmlu,accuracy,0.553,2000
falcon-h1-0.5b,attention_late_off,gsm8k,exact_match,0.26,50
falcon-h1-0.5b,attention_late_off,arc_challenge,accuracy,0.6588628762541806,299
falcon-h1-0.5b,attention_late_off,hellaswag,accuracy,0.4925,2000
falcon-h1-0.5b,attention_late_off,truthfulqa_mc,accuracy,0.23544303797468355,790
falcon-h1-0.5b,ssm_early_off,mmlu,accuracy,0.2545,2000
falcon-h1-0.5b,ssm_early_off,gsm8k,exact_match,0.02,50
falcon-h1-0.5b,ssm_early_off,arc_challenge,accuracy,0.29431438127090304,299
falcon-h1-0.5b,ssm_early_off,hellaswag,accuracy,0.2735,2000
falcon-h1-0.5b,ssm_early_off,truthfulqa_mc,accuracy,0.2481012658227848,790
falcon-h1-0.5b,ssm_middle_off,mmlu,accuracy,0.454,2000
falcon-h1-0.5b,ssm_middle_off,gsm8k,exact_match,0.28,50
falcon-h1-0.5b,ssm_middle_off,arc_challenge,accuracy,0.5919732441471572,299
falcon-h1-0.5b,ssm_middle_off,hellaswag,accuracy,0.457,2000
falcon-h1-0.5b,ssm_middle_off,truthfulqa_mc,accuracy,0.2240506329113924,790
falcon-h1-0.5b,ssm_late_off,mmlu,accuracy,0.5385,2000
falcon-h1-0.5b,ssm_late_off,gsm8k,exact_match,0.16,50
falcon-h1-0.5b,ssm_late_off,arc_challenge,accuracy,0.6755852842809364,299
falcon-h1-0.5b,ssm_late_off,hellaswag,accuracy,0.485,2000
falcon-h1-0.5b,ssm_late_off,truthfulqa_mc,accuracy,0.23417721518987342,790
